api/claude.go,"Implements Claude API client with model selection, token cost calculation, and message handling"
api/client.go,Defines the Client interface and Serialize function for preparing files for API calls
commands/call.go,"Handles code generation, planning, and question-answering commands with progress indicators"
commands/config.go,Manages configuration settings for API keys and model parameters
commands/context.go,Discovers relevant files for a task using AI analysis of file listings
commands/help.go,Displays command reference and usage information
commands/index.go,Scans project files and generates descriptions using Claude API
commands/new.go,Creates a new conversation context
commands/read.go,Adds files to the current context using glob pattern matching
commands/snip.go,Edits specific line ranges in files with AI-assisted code generation
config/config.go,Loads and saves configuration from ~/.yact directory with JSON persistence
go.mod
go.sum
logic/codefile.go,Parses code blocks from responses and extracts file paths and descriptions
logic/index.go,Manages file indexing in CSV format with deduplication and sorting
logic/transaction.go,Stores and retrieves conversation context and prompts from .yact file
main.go,Command-line entry point that routes subcommands to their handlers
systemprompts/act.txt, Contains system prompt for the act command
systemprompts/ask.txt, Contains system prompt for the ask command
systemprompts/index.txt, Contains system prompt for the index command
systemprompts/context.txt, Contains system prompt for the context command
systemprompts/plan.txt, Contains system prompt for the plan command
systemprompts/snip.txt, Contains system prompt for the snip command
